record_id,case_id,seq,record_type,subscriber_msisdn,calling_msisdn,called_msisdn,imei,cell_id,ts_local,duration_s,sms_len,source_version
c18,case_trg_001,10005,MTC,306930000102,306930000101,306930000102,350000000000022,AT-20210-5502,2026-02-20T09:10:00+02:00,792,,cdr@1-en
c28,case_trg_001,10011,MOC,306930000105,306930000105,306930000108,350000000000055,AT-20210-5507,2026-02-20T18:45:00+02:00,89,,cdr@1-en
c29,case_trg_001,10018,SMS-MT,306930000108,306930000105,306930000108,350000000000089,AT-20210-5507,2026-02-20T18:49:00+02:00,,48,cdr@1-en
c32,case_trg_001,10020,MOC,306930000106,306930000106,306930000108,350000000000063,AT-20210-5509,2026-02-21T10:20:00+02:00,99,,cdr@1-en
c13,case_trg_001,10025,SMS-MO,306971234567,306971234567,306949876543,356923107744818,AT-20210-4312,2026-02-21T11:05:00+02:00,,78,cdr@1-en
c19,case_trg_001,10026,SMS-MO,306930000102,306930000102,306930000107,350000000000022,AT-20210-5503,2026-02-21T13:25:00+02:00,,29,cdr@1-en
c51,case_trg_001,10031,SMS-MO,306930000109,306930000109,306930000106,350000000000097,AT-20210-5514,2026-02-21T21:15:00+02:00,,85,cdr@1-en
c24,case_trg_001,10032,SMS-MO,306930000103,306930000103,306930000104,350000000000030,AT-20210-5504,2026-02-22T18:25:00+02:00,,21,cdr@1-en
c38,case_trg_001,10039,MOC,306930000108,306930000108,306930000101,350000000000089,AT-20210-5512,2026-02-22T19:00:00+02:00,645,,cdr@1-en
c22,case_trg_001,10040,SMS-MO,306930000101,306930000101,306930000108,350000000000014,AT-20210-5502,2026-02-22T19:20:00+02:00,,59,cdr@1-en
c15,case_trg_001,10046,SMS-MO,306930000101,306930000101,306930000102,350000000000014,MAR-20530-0091,2026-02-23T10:00:00+02:00,,18,cdr@1-en
c16,case_trg_001,10050,SMS-MO,306930000101,306930000101,306930000102,350000000000014,AT-20210-5501,2026-02-23T10:01:20+02:00,,61,cdr@1-en
